episode,loss,steps,rewards
1,0.3184571136012673,500,-1709.9999999999789
2,0.04200458556599915,500,-1218.999999999999
3,0.019092791736125946,500,-1566.9999999999893
4,0.022514249329920858,500,-1064.000000000006
5,0.0092876473183278,500,-1481.999999999988
6,0.023307601484004407,500,-1550.9999999999898
7,0.025765213751234115,500,-1550.9999999999898
8,0.00485570860246662,500,-1550.9999999999898
9,0.02090113340469543,500,-1550.9999999999898
10,0.009621978275419678,500,-1550.9999999999898
11,0.1439659173032269,500,-1550.9999999999898
12,0.028954758702777326,500,-1550.9999999999898
13,0.011176345302257687,500,-1550.9999999999898
14,0.019739506419748067,500,-1550.9999999999898
15,0.005560341086471453,500,-1550.9999999999898
16,0.009761473462567664,500,-1551.9999999999898
17,0.015592472664720844,500,-1553.9999999999898
18,0.00242031617637258,500,-1550.9999999999898
19,0.003467345368640963,500,-1550.9999999999898
20,0.007934638421720592,500,-1550.9999999999898
21,0.1015922747021541,500,-1070.000000000006
22,0.005370092759738327,500,-1055.0000000000066
23,0.002913862436398631,500,-1055.0000000000066
24,0.0018080645000591177,500,-1057.0000000000064
25,0.0014265373772650491,500,-1055.0000000000066
26,0.0007489641030251732,500,-1057.0000000000064
27,0.0007270122346926656,500,-1055.0000000000066
28,0.0004243946463680004,500,-1055.0000000000066
29,0.00032545161611369623,500,-1055.0000000000066
30,0.0003149355447635571,500,-1055.0000000000066
31,0.03273763415968278,500,-964.0000000000068
32,0.005690833050815854,500,-1055.0000000000066
33,0.004053079001212609,500,-1058.0000000000064
34,0.00447881137666991,500,-1056.0000000000064
35,0.004102567891794024,500,-1055.0000000000066
36,0.0694212347191351,500,-2549.999999999976
37,0.012824756561196408,500,-1055.0000000000066
38,0.015280047132575419,500,-1057.0000000000064
39,0.009283680482010823,500,-1056.0000000000064
40,0.01899688440008322,500,-1056.0000000000064
41,0.19469356540066657,500,-1061.0000000000061
42,0.018090952817117794,500,-1055.0000000000066
43,0.00693256993353134,500,-1059.0000000000064
44,0.009634684677759651,500,-1055.0000000000066
45,0.008366690693161217,500,-1055.0000000000066
46,0.014223640948301182,500,-1055.0000000000066
47,0.0028697139896976297,500,-1055.0000000000066
48,0.006817528560786741,500,-1055.0000000000066
49,0.022024835357733537,500,-1055.0000000000066
50,0.020886592969094637,500,-1055.0000000000066
51,0.19877548606670462,500,-1550.9999999999898
52,0.020421431427588687,500,-1055.0000000000066
53,0.015247336306376383,500,-1056.0000000000064
54,0.028410901424475013,500,-1058.0000000000064
55,0.03122845895160572,500,-1055.0000000000066
56,0.015356748994119698,500,-1055.0000000000066
57,0.01560149987359182,500,-1055.0000000000066
58,0.009255481464104378,500,-1055.0000000000066
59,0.015987872507619613,500,-1055.0000000000066
60,0.01962872556899674,500,-1055.0000000000066
61,0.1238939155858825,500,-1224.9999999999982
62,0.009582710982009303,500,-917.0000000000082
63,0.0037285153255506884,500,-1055.0000000000066
64,0.0028294245978613616,500,-1055.0000000000066
65,0.0027284218727072584,500,-1055.0000000000066
66,0.0018400255199849198,500,-1058.0000000000064
67,0.0015453936254125437,500,-1055.0000000000066
68,0.001101594332139939,500,-1058.0000000000064
69,0.0011243931701174006,500,-1055.0000000000066
70,0.0007295541703733761,500,-1057.0000000000064
71,0.13084023664251435,500,-1056.0000000000064
72,0.011125873858371051,500,-757.000000000006
73,0.004416869388878694,500,-1056.0000000000064
74,0.0050321376492211125,500,-1151.0000000000023
75,0.006478820466960315,500,-1055.0000000000066
76,0.02081695993327594,500,-1055.0000000000066
77,0.018446002844997565,500,-1055.0000000000066
78,0.034407598843768934,500,-1055.0000000000066
79,0.03892977476162195,500,-952.0000000000082
80,0.023788373437579138,500,-628.0000000000069
81,0.1965384292304516,500,-563.0000000000053
82,0.02550273972726427,500,-562.0000000000053
83,0.014233156429501832,500,-562.0000000000053
84,0.026063966858273488,500,-561.0000000000053
85,0.0034461490916827086,62,-65.1
86,0.08144317356857937,500,-565.0000000000053
87,0.058130070315761256,500,-563.0000000000053
88,0.08815708340363926,500,-561.0000000000053
89,0.21740418263827452,500,-2300.9999999999814
90,0.11430887566425373,500,-561.0000000000053
91,0.8200583180517023,348,-381.7000000000019
92,0.09014582529198378,56,-58.500000000000036
93,0.12705721610412002,500,-560.0000000000053
94,0.11714161991979927,500,-560.0000000000053
95,0.07893659573086109,74,-78.29999999999993
96,0.0502279132019683,41,-42.00000000000004
97,0.1099955655572315,75,-79.39999999999992
98,0.2866212014968579,13,-11.200000000000005
99,0.28537217473300797,24,-27.300000000000026
100,0.13333896503728979,34,-38.30000000000004
