episode,loss,steps,rewards
1,0.6482667242437601,500,-1719.9999999999864
2,0.08809764525294304,500,-1969.9999999999773
3,0.038057309812866154,500,-2331.999999999976
4,0.043576545480638745,500,-1293.9999999999948
5,0.04562364501001775,359,-725.8000000000061
6,0.05039389008469879,500,-1580.9999999999889
7,0.0640682224240154,500,-1556.9999999999898
8,0.05869003586191684,500,-1555.9999999999898
9,0.028750410850159825,500,-1645.9999999999816
10,0.014420503248693421,500,-1416.9999999999948
11,0.18071030847262592,500,-1452.9999999999864
12,0.058223286068066954,500,-1103.0000000000043
13,0.03740769372927025,500,-1066.000000000006
14,0.04164352045766044,193,-384.20000000000107
15,0.019967889063991606,12,-13.100000000000007
16,0.026846958079228277,19,-17.80000000000001
17,0.12020042956998897,63,-70.19999999999997
18,0.037717006897265225,71,-197.99999999999974
19,0.070864099581095,62,-123.09999999999982
20,0.04321255819185784,19,-29.80000000000002
21,0.3431181797925383,500,-1075.0000000000055
22,0.13343047648405945,142,-417.100000000001
23,0.07921873778104782,20,-38.90000000000002
24,0.14218121946535328,55,-147.39999999999984
25,0.08145635800622404,500,-1057.0000000000064
26,0.05985007636249065,25,-54.40000000000001
27,0.06795279054592053,15,-23.400000000000013
28,0.05162407394631633,28,-63.699999999999996
29,0.03350838888436556,10,-7.9
30,0.07988693099468946,10,-7.9
31,1.4790317533401454,82,-145.0999999999998
32,1.1408816190326916,17,-29.600000000000016
33,0.4830169647055514,34,-68.29999999999995
34,0.2811424653045833,16,-26.500000000000014
35,0.20894297659397126,10,-7.9
36,0.1952584764609734,12,-14.100000000000007
37,0.2250123937924703,15,-23.400000000000013
38,0.2780953633942102,19,-35.80000000000002
39,0.2056436464190483,10,-7.9
40,0.18029308170080185,10,-7.9
41,5.204990744590759,20,-44.90000000000002
42,1.0146096627558432,31,-78.99999999999996
43,0.47964580059051515,10,-7.9
44,1.3848215738932292,12,-14.100000000000007
45,0.7287610297401746,12,-14.100000000000007
46,0.6873883336782456,25,-54.40000000000001
47,0.3575590971782803,500,-1109.000000000004
48,0.19594411104917525,10,-7.9
49,0.18998676035553216,10,-7.9
50,0.20513804703950883,10,-7.9
51,6.476015248719384,17,-21.60000000000001
52,2.5458393041044474,48,-133.69999999999985
53,2.895394821961721,12,-16.10000000000001
54,1.125205248594284,10,-7.9
55,0.7332654123504957,12,-14.100000000000007
56,0.43226041421294215,20,-18.900000000000013
57,0.6730591267347336,10,-7.9
58,0.5258766412734985,11,-11.000000000000005
59,0.2924356978386641,10,-7.9
60,0.3938097387552261,10,-7.9
61,8.6448161396487,29,-66.79999999999998
62,1.2421496987342835,10,-7.9
63,0.9789793903529644,500,-1449.999999999987
64,0.3597857529918353,12,-10.100000000000003
65,0.5125220840175947,12,-12.100000000000003
66,0.42571515291929246,10,-7.9
67,0.2711510270833969,10,-7.9
68,0.33820489794015884,10,-7.9
69,0.331220905482769,10,-7.9
70,0.39940315634012225,10,-7.9
71,5.589439738880504,11,-10.000000000000002
72,1.7054388561323286,500,-2980.9999999999736
73,0.47833978317000647,11,-9.000000000000002
74,0.4127459265291691,12,-10.100000000000003
75,0.5277777642011643,10,-7.9
76,0.45497519671916964,10,-7.9
77,0.5776476964354516,10,-7.9
78,0.5145297482609749,10,-7.9
79,0.3420247286558151,28,-31.70000000000003
80,0.28552685379981996,10,-7.9
81,17.2250385761261,15,-13.400000000000007
82,10.494285146395365,12,-12.100000000000003
83,1.701887648839217,13,-23.20000000000001
84,3.9705977916717528,10,-7.9
85,1.0669505108486523,11,-13.000000000000005
86,1.3479568839073182,10,-7.9
87,1.3419840216636658,10,-7.9
88,1.3970011174678802,10,-7.9
89,1.5942922234535217,10,-7.9
90,2.5820728957653047,10,-7.9
91,5.032843565940857,10,-7.9
92,10.769445371627807,10,-7.9
93,33.44277858734131,20,-18.900000000000013
94,9.925087261199952,10,-7.9
95,3.344812494516373,10,-7.9
96,5.222311540083452,11,-11.000000000000005
97,3.376796531677246,10,-7.9
98,2.6133637356035635,66,-237.49999999999974
99,1.3115013062953949,10,-7.9
100,0.8294118642807007,16,-14.500000000000009
