episode,loss,steps,rewards
1,0.38718393990024924,500,-2599.9999999999764
2,0.16017091549932957,500,-1615.999999999987
3,0.07585495736263692,500,-1604.9999999999889
4,0.04169432128500193,500,-1177.0000000000014
5,0.026512530039530247,500,-1572.999999999989
6,0.02222582314349711,500,-2549.999999999976
7,0.015176875968347303,500,-1438.9999999999875
8,0.01296276785864029,500,-2268.999999999976
9,0.009601465908112004,500,-1986.999999999979
10,0.008289373374194837,500,-1710.9999999999845
11,0.21486773703806103,500,-1690.9999999999852
12,0.044558871572837236,500,-1552.9999999999898
13,0.04306718523055315,500,-693.0000000000084
14,0.04720462907897308,500,-808.0000000000092
15,0.02995806235377677,500,-1552.9999999999898
16,0.02057961978088133,500,-975.0000000000092
17,0.016382028101012112,500,-886.0000000000092
18,0.014593547359691001,500,-1057.0000000000064
19,0.014310452460544184,500,-1556.9999999999898
20,0.011987014535814524,500,-1552.9999999999898
21,0.17051037045568226,500,-749.0000000000092
22,0.03979742217808962,500,-1057.0000000000064
23,0.023989368151989765,500,-625.0000000000068
24,0.024091933326097204,500,-599.0000000000061
25,0.010627220497932285,500,-567.0000000000053
26,0.009039753865567036,500,-663.0000000000057
27,0.0088360234843567,500,-588.0000000000059
28,0.010325297206290997,500,-634.000000000007
29,0.007449900536128553,500,-707.0000000000082
30,0.006742892424372257,500,-642.0000000000073
31,0.12829360942076892,500,-905.0000000000097
32,0.0209490142010618,500,-579.0000000000057
33,0.015424790109100285,500,-573.0000000000056
34,0.009759577285905834,500,-568.0000000000055
35,0.028973092352680398,500,-1846.9999999999866
36,0.02901785369287245,500,-1923.999999999984
37,0.022577836101409048,500,-2043.9999999999814
38,0.019164510329952464,500,-1286.999999999995
39,0.014628649879945442,500,-2013.999999999982
40,0.013764688734314405,500,-855.0000000000091
41,0.18506093375594354,500,-568.0000000000055
42,0.023662579426826126,349,-398.8000000000022
43,0.028434986088826667,102,-133.09999999999962
44,0.1300263910521753,500,-770.0000000000076
45,0.08087289568851702,500,-564.0000000000053
46,0.06572218742902623,500,-690.0000000000085
47,0.07212842188369945,407,-482.600000000004
48,0.01455880807645704,186,-224.49999999999918
49,0.010378468970884569,16,-18.500000000000014
50,0.10093347979805217,298,-550.7000000000045
51,0.7500338079934975,159,-182.7999999999994
52,0.49069766796139236,68,-143.69999999999976
53,0.08324027972828064,56,-66.49999999999997
54,0.09468178809262238,13,-15.200000000000008
55,0.700245020704137,36,-44.50000000000004
56,0.38612325072643305,21,-24.00000000000002
57,0.26724522574530807,34,-38.30000000000004
58,0.4738607255413252,34,-39.30000000000004
59,0.30442917311843487,500,-595.0000000000055
60,0.0443739452614234,13,-17.20000000000001
61,1.9208125048095273,126,-367.5000000000006
62,0.5202225153855979,500,-2549.999999999976
63,0.25298323404043915,500,-1907.9999999999834
64,0.24217892524786294,500,-1063.0000000000061
65,0.16924291118029278,247,-529.6000000000026
66,0.10136611618474126,500,-2549.999999999976
67,0.11727630952186882,500,-1064.000000000006
68,0.07304819396720268,500,-1055.0000000000066
69,0.060916533872135914,500,-1055.0000000000066
70,0.043055786395678294,500,-1067.000000000006
71,1.0025688413679599,500,-1438.9999999999873
72,0.20284281910530158,14,-23.30000000000001
73,0.14500964656472207,10,-7.9
74,0.11037329398095608,10,-7.9
75,0.7338454812765122,10,-7.9
76,0.1983289634808898,12,-14.100000000000007
77,0.25358468971469184,11,-13.000000000000005
78,0.3328088402748108,10,-7.9
79,0.19169743426821448,11,-11.000000000000005
80,0.25878552682697775,10,-7.9
81,2.1342098603823354,112,-324.1000000000003
82,0.7321622669696808,12,-17.10000000000001
83,0.2969866216182709,10,-7.9
84,0.4430538460612297,10,-7.9
85,0.7528870433568955,10,-7.9
86,0.3088899620659649,500,-1184.999999999993
87,0.13631771008173624,12,-18.10000000000001
88,0.20821217654645444,500,-2549.999999999976
89,0.10589586645364761,10,-7.9
90,0.05924899633973837,10,-7.9
91,11.608219981193542,12,-12.100000000000007
92,19.88845331018621,11,-9.000000000000002
93,1.6232015788555145,12,-14.100000000000007
94,1.4542008727788924,10,-7.9
95,1.1341055274009704,10,-7.9
96,1.2339641273021698,10,-7.9
97,1.334579974412918,10,-7.9
98,2.3990176200866697,10,-7.9
99,0.8791438907384872,10,-7.9
100,1.3260548873381182,11,-9.000000000000002
