episode,loss,steps,rewards
1,0.23968824600987138,500,-2150.99999999998
2,0.030899815063923596,500,-2549.999999999976
3,0.01559843854047358,500,-2313.999999999976
4,0.026311612012330444,500,-1676.9999999999857
5,0.019954468176234513,500,-1603.9999999999882
6,0.013057665834436193,500,-1769.9999999999823
7,0.010014585135038941,500,-1550.9999999999898
8,0.007668149905279279,500,-1550.9999999999898
9,0.019891345816256945,500,-1550.9999999999898
10,0.035019787718192676,500,-1550.9999999999898
11,0.22256644047796725,500,-1582.9999999999889
12,0.02918641397054307,500,-1141.000000000003
13,0.038359578031115234,500,-591.0000000000059
14,0.02668576933280565,500,-1550.9999999999898
15,0.016919530490878968,500,-1550.9999999999898
16,0.011129465180449188,500,-1550.9999999999898
17,0.009927667355630547,500,-1550.9999999999898
18,0.00690016878672759,500,-1550.9999999999898
19,0.005338342380098766,500,-1551.9999999999898
20,0.004902185465150978,500,-1550.9999999999898
21,0.18629320842120797,500,-1062.000000000005
22,0.04217274280427955,500,-631.0000000000069
23,0.021783908636774867,500,-784.0000000000091
24,0.013983802991366246,500,-640.0000000000072
25,0.01005193225070252,500,-864.0000000000091
26,0.00819360391877126,500,-956.0000000000091
27,0.005220408451350522,500,-1191.999999999992
28,0.00497409682009311,500,-663.0000000000077
29,0.008780415765824728,500,-2049.9999999999814
30,0.006933428935008123,500,-581.0000000000057
31,1.0482494292959368,73,-148.19999999999973
32,0.04960646167164669,500,-577.0000000000057
33,0.05833871950069442,500,-572.0000000000056
34,0.018670631795714144,500,-580.0000000000057
35,0.10182942924258687,226,-245.49999999999906
36,0.022467699395270928,42,-45.10000000000005
37,0.05753352790180997,467,-518.6000000000047
38,0.08765473210974596,500,-564.0000000000053
39,0.06470016008012232,111,-122.99999999999969
40,0.07284158228892544,319,-377.8000000000018
41,0.28852264236751946,500,-662.0000000000077
42,0.1279072811314836,500,-604.0000000000063
43,0.05697425884832426,46,-54.50000000000005
44,0.0867616382248234,500,-562.0000000000053
45,0.061456543363281525,500,-560.0000000000053
46,0.006187856302130967,10,-7.9
47,0.06561955847742501,500,-560.0000000000053
48,0.07333628203667468,500,-561.0000000000053
49,0.007941941340686754,10,-7.9
50,0.10613724429986905,500,-2549.999999999976
51,3.601346289118131,18,-26.700000000000017
52,0.8047738382480589,166,-179.4999999999994
53,0.18313629707942405,12,-14.100000000000007
54,0.2815212465249575,65,-125.39999999999984
55,0.0985409714281559,10,-7.9
56,0.1773129567503929,10,-7.9
57,0.3681066061059634,12,-12.100000000000003
58,0.16910715401172638,10,-7.9
59,0.25754373117039603,12,-11.100000000000003
60,0.24100131951272488,10,-7.9
61,5.46992086701923,18,-32.70000000000002
62,0.9658886402845382,10,-7.9
63,1.5865822732448578,24,-51.300000000000026
64,0.8090378620794841,14,-20.30000000000001
65,0.36987997705023734,500,-1041.000000000007
66,0.12332132384181023,10,-7.9
67,0.17610665410757065,10,-7.9
68,0.12486449666321278,10,-7.9
69,0.15817109549272002,102,-386.10000000000065
70,0.0868253812992147,14,-24.30000000000001
71,0.45893083154316994,500,-1055.0000000000064
72,0.1629777055544158,12,-14.100000000000007
73,0.07079885452985764,10,-7.9
74,0.06690400037914515,10,-7.9
75,0.05807843441143632,10,-7.9
76,0.18869256153702735,10,-7.9
77,0.17561125239500633,13,-15.200000000000008
78,0.1469907218590379,10,-7.9
79,0.09279304234818979,11,-9.000000000000002
80,0.17275085867467252,11,-11.000000000000005
81,0.574730398254469,500,-1103.0000000000045
82,0.16342122495733202,500,-2050.9999999999814
83,0.04857178294861859,11,-13.000000000000005
84,0.1259075997566635,11,-11.000000000000005
85,0.5682242925871502,11,-9.000000000000002
86,0.05661471882978311,13,-19.20000000000001
87,0.07621602186312278,12,-10.100000000000003
88,0.019976941705681383,10,-7.9
89,0.07257811589023241,13,-15.200000000000008
90,0.06653010714799165,10,-7.9
91,1.6400334894657136,10,-7.9
92,1.4627378404140472,10,-7.9
93,1.0265946745872498,10,-7.9
94,0.6564418256282807,10,-7.9
95,0.6109418123960495,12,-14.100000000000007
96,1.888861083984375,10,-7.9
97,1.0051407342155774,12,-12.100000000000003
98,0.9804826945066452,10,-7.9
99,0.412590834164992,500,-2549.999999999976
100,0.09721994511783123,10,-7.9
