episode,loss,steps,rewards
1,0.2467574733570218,500,-2032.9999999999807
2,0.12757507687062025,500,-1353.9999999999968
3,0.05253545416332781,500,-994.0000000000089
4,0.02233259207336232,500,-2549.999999999976
5,0.015214089944493026,500,-894.0000000000098
6,0.013916736716404558,500,-2549.999999999976
7,0.03265347645396832,500,-2549.999999999976
8,0.008828430874680635,500,-2549.999999999976
9,0.0055272090150392614,500,-2159.9999999999786
10,0.0039503567001083865,500,-2549.999999999976
11,0.003287182927277172,500,-1780.9999999999823
12,0.0033068869260605423,500,-1442.9999999999852
13,0.002302047041957849,500,-1283.999999999987
14,0.0021745425212575356,500,-2166.999999999976
15,0.0018903030904984916,500,-1839.999999999976
16,0.0012604897747005453,500,-1213.9999999999902
17,0.1762050215159543,500,-799.0000000000092
18,0.03547309200419113,500,-640.0000000000072
19,0.021228883759351447,500,-650.0000000000053
20,0.01838242702721618,500,-560.0000000000053
21,0.012403360508382321,500,-560.0000000000053
22,0.004683181688335026,500,-560.0000000000053
23,0.0034653763969545253,500,-560.0000000000053
24,0.0020550274815359444,500,-717.0000000000082
25,0.0015532645376115397,500,-560.0000000000053
26,0.0031325879630167038,500,-2050.9999999999814
27,0.003092725436683395,500,-871.0000000000058
28,0.002945594807242742,500,-560.0000000000053
29,0.0040584648936746815,500,-560.0000000000053
30,0.0038327179868247185,500,-560.0000000000053
31,0.008471239243299351,500,-1550.9999999999898
32,0.0023489081025036287,500,-560.0000000000053
33,0.1779046958661638,500,-1211.9999999999907
34,0.04214547527744435,500,-769.000000000006
35,0.05172394494479522,500,-2442.999999999978
36,0.018788725911715144,74,-140.29999999999973
37,0.03676574184501078,500,-567.0000000000055
38,0.015854385537677443,500,-560.0000000000053
39,0.013759962070791516,500,-567.0000000000055
40,0.008283023590076481,500,-2332.9999999999804
41,0.026848492313903988,500,-562.0000000000053
42,0.03648802803189028,500,-560.0000000000053
43,0.021808505807161926,119,-128.79999999999967
44,0.014172476877021837,500,-564.0000000000053
45,0.013083836389385397,500,-562.0000000000053
46,0.09143382193014259,500,-590.0000000000059
47,0.004698141384324117,64,-85.29999999999987
48,0.004898318113745241,92,-262.09999999999985
49,0.2549684198196046,500,-953.0000000000068
50,0.06022995746870701,37,-37.60000000000004
51,0.05742560876092899,74,-78.29999999999993
52,0.04931559202007272,11,-9.000000000000002
53,0.03294464945793152,14,-14.30000000000001
54,0.03262944065500051,36,-36.500000000000036
55,0.08015206100470904,18,-16.70000000000001
56,0.044530097581446174,10,-7.9
57,0.07060655008535832,36,-36.500000000000036
58,0.12379417399113829,11,-9.000000000000002
59,0.04238973847693867,36,-36.500000000000036
60,0.21982751982951804,14,-12.300000000000006
61,0.051981377562409954,19,-17.80000000000001
62,0.022363569121807814,17,-15.60000000000001
63,0.08683977907316552,36,-36.500000000000036
64,0.026683834463744085,41,-42.00000000000004
65,2.552126284031307,34,-53.30000000000003
66,1.3575682640075684,15,-21.400000000000013
67,0.5395604617893696,10,-7.9
68,0.7784884333610534,10,-7.9
69,0.3789884462952614,10,-7.9
70,0.39317667931318284,10,-7.9
71,0.781418614834547,10,-7.9
72,0.37316494352287716,18,-24.70000000000001
73,0.30062128921885706,241,-724.0000000000032
74,0.5072927080094815,10,-7.9
75,0.16838725478737615,192,-209.09999999999926
76,0.0768355954438448,10,-7.9
77,0.15698303915560247,10,-7.9
78,0.14442908520810305,100,-106.89999999999978
79,0.12828424125909804,10,-7.9
80,0.42778110824292526,16,-30.500000000000014
81,1.4442806808011872,98,-280.7
82,0.22298824892526395,475,-1449.3999999999921
83,0.10182560854963958,500,-1550.9999999999898
84,0.0565317696814891,500,-1554.9999999999898
85,0.04736510689649731,500,-1552.9999999999898
86,0.09016848063759972,500,-1550.9999999999898
87,0.10153572596609592,10,-7.9
88,0.021911563258618115,10,-7.9
89,0.031364180520176886,10,-7.9
90,0.04503385620191693,10,-7.9
91,0.015034089144319297,10,-7.9
92,0.025925707910209893,10,-7.9
93,0.010057132272049785,10,-7.9
94,0.005368145043030381,10,-7.9
95,0.003998874887739393,11,-11.000000000000005
96,0.005266657622996718,10,-7.9
97,4.044931749502818,12,-17.10000000000001
98,5.863981768488884,12,-14.100000000000007
99,0.9946860508485273,11,-11.000000000000005
100,0.25254285904871177,274,-826.3000000000039
